Episode Title,Episode Date Aired,Season/Episode,IMDb Rating,No. of Votes,Storyline,Runtime
eps1.0_hellofriends.mov,06-24-2015,S1 - E1,9.3,16033,"A notorious hacker takes an interest in cyber security engineer and vigilante styled computer hacker Elliot, while an evil corporation is hacked.",1:02:00
eps1.1_ones-and-zer0es.mpeg,07/01/2015,S1 - E2,8.6,11311,Elliot is hesitant about fsociety; Elliot is offered a new job; Elliot worries about Shayla's association with Fernando Vera; Ollie is given a CD outside of Allsafe; Mr. Robot makes Elliot talk about his father.,0:48:00
eps1.2_d3bug.mkv,07/08/2015,S1 - E3,8.3,10046,"Elliot tries to live a bug-free life, but is quickly drawn back in; Tyrell takes matters into his own hands when the CTO position becomes available; Ollie gets blackmailed; Gideon starts getting suspicious of the infected server.",0:46:00
eps1.3_da3m0ns.mp4,07/15/2015,S1 - E4,8.1,9931,"While dealing with his withdrawal, Elliot suffers a series of hallucinations about his life, while Shayla helps Angela take an unexpected trip.",0:46:00
eps1.4_3xpl0its.wmv,07/22/2015,S1 - E5,8.5,8969,"Fsociety attempts to penetrate Steel Mountain, the most secure data facility in America, while Angela makes an important decision.",0:45:00
eps1.5_br4ve-trave1er.asf,07/29/2015,S1 - E6,9.2,10510,"Elliot attempts to hack Vera out of jail in order to save someone he cares about; Tyrell's ""game"" gets crazy; and Angela digs deeper into her mother's death.",0:45:00
eps1.6_v1ew-s0urce.flv,08/05/2015,S1 - E7,8.5,8522,Elliot misses Shayla. Angela makes a deal with Colby. Sharon Knowles has an encounter with Tyrell.,0:45:00
eps1.7_wh1ter0se.m4v,08/12/2015,S1 - E8,9.5,12560,Allsafe is hacked and Elliot is meeting White Rose. Tyrell is interrogated by the police and Elliot remembers who he really is.,0:45:00
eps1.8_m1rr0r1ng.qt,08/19/2015,S1 - E9,9.3,10324,"Elliot has to face the challenges of his past, and become accustomed to his new found family.",0:49:00
eps1.9_zer0-day.avi,09/02/2015,S1 - E10,8.9,9187,"Another huge discovery for Elliot surrounding his family and fsociety, Tyrell's world starts to close around him and Angela has a rather unexpected visitor.",0:54:00
eps2.0_unm4sk-pt1.tc,07/10/2016,S2 - E1,8.3,7145,"Elliot keeps seeing his psychologist, Krista. The new character Susan Jacobs is having trouble with technology. Gideon pays a visit to Elliot complaining he's been targeted for a crime Elliot might have committed. Fsociety are back in action, asking E Corp for 5.9 million dollars in 24 hours.",0:41:00
eps2.0_unm4sk-pt2.tc,07/13/2016,S2 - E2,8.3,6630,"Ray takes an interest in Elliot, who continues to clash with Mr. Robot; Angela decides to stay at E Corp, believing she has value there; Joanna trysts and receives a mysterious gift; Scott follows fsociety's demands; Gideon continues cooperating with the FBI, but his luck continues to worsen; Price asks for more bailout money.",0:42:00
eps2.1_k3rnel-pan1c.ksd,07/20/2016,S2 - E3,8.5,6446,Elliot vows to beat Mr. Robot; Angela gets a glimpse behind the curtain at E Corp; and fsociety stirs up trouble.,1:03:00
eps2.2_init_1.asec,07/27/2016,S2 - E4,8.4,6057,Elliot vows to beat Mr. Robot; Angela gets a glimpse behind the curtain at E Corp; and fsociety stirs up trouble.,1:05:00
eps2.3_logic-b0mb.hc,08/03/2016,S2 - E5,8.9,6195,Elliot can't quit the game; Dom and the FBI head to China to investigate 5/9; Joanna is haunted; and Darlene calls on Angela for help.,0:51:00
eps2.4_m4ster-s1ave.aes,08/10/2016,S2 - E6,9.1,7123,Mr. Robot has an original way to show Elliot that he can be useful. Darlene and Angela take a shot at their plan.,0:50:00
eps2.5_h4ndshake.sme,08/17/2016,S2 - E7,9.3,7565,Mr. Robot and Elliot try to keep the peace. Fsociety releases a video honoring Uncle Sam. Darlene acts upon an old desire.,0:49:00
eps2.6_succ3ss0r.p12,08/24/2016,S2 - E8,8.6,5513,The latest fsociety leak has Dom trying her best to spin the case in the FBI's favor; Angela defends her career choices; Darlene makes it known that her circle of trust is shrinking.,0:46:00
eps2.7_init_5.fve,08/31/2016,S2 - E9,8.6,5333,Angela wants more from Evil Corp; Dark Army's allegiance is in question; Elliot and Darlene seek answers.,0:49:00
eps2.8_h1dden-pr0cess.axx,09/07/2016,S2 - E10,9.3,6694,Elliot wonders if Mr. Robot has been lying to him; Darlene attempts to do the right thing; Dom and the FBI get closer.,0:43:00
eps2.9_pyth0n-pt1.p7z,09/14/2016,S2 - E11,8.6,5442,Angela makes an acquaintance; Dom begins seeing the scope of things; an old friend reveals everything to Elliot.,0:47:00
eps2.9_pyth0n-pt2.p7z,09/21/2016,S2 - E12,9,6038,Angela makes an unexpected acquaintance; Darlene realizes she's in deep; and an old friend reveals all to Elliot.,0:47:00
